Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
46,86.65,CELLxGENE:25681e1c-a4f6-4948-aa5f-39d1f239f182,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,27108,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6c0c8f36-4b87-4f9f-ad66-67452ee2bcfe.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
47,86.57,CELLxGENE:f29ca8ac-f8c9-469c-a039-3494545d711a,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,24026,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/5c99d4fd-e6c4-47db-8134-ae578f57f246.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
48,86.08,CELLxGENE:d9ecdf7b-e5f9-459e-a7da-e918748cfdfe,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,11312,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0cd6e6bb-d3ea-469e-9fa6-3eaa68f18ba0.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
49,85.98,CELLxGENE:fc93b28c-5789-41ce-8441-ff0da3cc46cf,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,9626,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d2d53b4a-15ee-465e-8fc3-f3bae6a6c598.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
50,85.91,CELLxGENE:59841c13-ab79-46ba-94bd-12b01e61e708,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,8643,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6b1ba574-d264-4673-afaa-5591bfb5ec8c.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
51,85.77,CELLxGENE:affa05cf-6f7a-4868-87d9-a33664680139,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,7027,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/dee78644-1825-41cc-8379-b9f46403f3c2.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
52,85.72,CELLxGENE:92cf7163-4b7b-460b-9751-afd96193a163,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart,normal,spatial transcriptomics,6497,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/bd3b60dc-d3da-4c46-91bc-114033228e2d.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
53,85.65,CELLxGENE:adf0db98-05e8-4834-8ae5-a93e91f56fce,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,5822,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/32fe2229-ab33-46ec-825d-7672b6ba95da.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
54,85.55,CELLxGENE:e2811f45-81cc-4819-aee0-dbaa6b3bb52c,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/f12da94e-18ed-4800-bfe8-08d915989eca.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
55,85.55,CELLxGENE:b5c3a60d-1a81-4be9-abf4-070c5630e73c,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/dcb26f1a-c8c8-4a6d-ad41-1bb562c1e56b.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
56,85.55,CELLxGENE:ab682d61-79b8-4d66-ae9e-aab154e55aad,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/a016abd8-7c7b-4726-b98e-e3f615672d29.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
57,85.55,CELLxGENE:7bb14472-12fa-46e4-a822-1b6eedcc8ffa,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/94e85b80-bf21-4cda-bd60-23b3f2410547.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
58,85.55,CELLxGENE:18f66a91-fe76-4bd6-aa46-5ab39ded35a0,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/dceda2b2-7aa1-44bf-821e-ffd42eb9e66c.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
59,85.55,CELLxGENE:15849d77-1325-4a16-a6ed-504fd852c610,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/8001cc47-6a62-438d-9777-338c83fb8a24.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
60,85.55,CELLxGENE:fe5b3268-ddd8-415a-9432-f1f95bfdb500,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/4e24de66-4ce1-4be4-9261-687aa0cefe24.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
61,85.55,CELLxGENE:f92a761d-b7b8-490a-aea2-bd7a1bb9714d,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/60d1ec7d-4337-4d37-87fe-3947ca78bc46.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
62,85.55,CELLxGENE:e0f37114-5e98-406e-bbeb-594603360606,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/466fdbe8-c863-4790-9c99-42f7cf1e9ddf.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
63,85.55,CELLxGENE:e0245fc6-ccf3-4329-ab10-136b7f366b49,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/411b2207-56b7-473b-989d-5d71ecce7f33.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
64,85.55,CELLxGENE:c70e9ea9-61d0-41b1-90f6-6fd3f25e91ab,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/291c1277-f558-4e3f-86f3-1f94120b15cd.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
65,85.55,CELLxGENE:c6c3206c-5228-4389-bc95-1d6120beb738,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0c6329a4-5bd5-4ad6-843b-142d26e1d9db.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
66,85.55,CELLxGENE:c5cddbbb-8ba4-4338-8b34-15edb5231e22,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/b1e661f8-d2ed-476d-846c-0c33a64011d4.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
67,85.55,CELLxGENE:bec030e1-7dc8-4eef-89a4-ab36e7043768,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/405bfaee-3c75-47c6-88c4-c8790237dde9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
68,85.55,CELLxGENE:af113aeb-ee5f-4484-8104-dc3190b6e54e,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f9fad4e1-1010-4fc6-98bf-0a7e2247ca6e.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
69,85.55,CELLxGENE:9dca8e98-e2f1-4e64-b7b0-22953cd8235d,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0958a01a-bb68-4a74-b40c-49291571d99a.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
70,85.55,CELLxGENE:9a38ffc5-576c-4283-a79c-fb1c5e03cb96,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/ac375474-45c8-42fc-adb3-ee134e1a4d21.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
71,85.55,CELLxGENE:985d11a7-9687-4d15-9681-90113501c2bc,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0c9177ab-509e-46e1-95da-c7c1002029a9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
72,85.55,CELLxGENE:83ec9e14-87a4-4d41-aa3b-f7c51af70a64,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart right ventricle,normal,spatial transcriptomics,5039,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/1b7164d0-9649-402b-a6cb-a1c9a917a898.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
73,85.55,CELLxGENE:82040363-8a09-4521-81b5-8f6e62c4ace7,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/258fdf55-7460-47ea-8627-bc38c35b4a16.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
74,85.55,CELLxGENE:79527108-1f6c-4152-afe0-1fcdf2e02ba3,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/ebdc7d12-8817-4976-91da-2b8b703c3d8f.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
75,85.55,CELLxGENE:6d4b3d09-f1f1-411e-972b-087880a0dcbe,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/053cba50-55ef-4092-9a63-a976385c37a7.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
76,85.55,CELLxGENE:5e2030eb-c905-4f54-a55f-20d41774ecc7,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f902b56e-5210-497c-83aa-3c481e32c609.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
77,85.55,CELLxGENE:55731b4b-44b1-4a39-aaee-503e3ee351f5,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/50d2c285-c7a0-4fe4-bb78-814823f2c85a.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
78,85.55,CELLxGENE:5260e91f-5d80-4e36-820c-394720d144c3,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart right ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/aebde0fa-ae23-4c25-8227-070111719d7b.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
79,85.55,CELLxGENE:4a9f7ec6-5de7-4e8a-acaa-d6d100a5ea58,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/e83f7f9d-4dbe-4454-b57f-3efbd4ea7068.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
