Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
29,102.55,CELLxGENE:7ba1a805-0afe-4264-b21e-0ce2ef1aa3bd,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,rectum,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/caed233d-e71f-4db2-9bac-d306f8828544.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
30,102.55,CELLxGENE:74e80fd1-d9cd-4132-af0f-9c5d37489392,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,sigmoid colon,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/447b545b-e3ca-43b0-bb0b-022bf5c6c47d.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
31,102.55,CELLxGENE:729f397a-0812-4b52-a7d1-b377107ffb41,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,right colon,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/a316235e-621b-4c0f-88d2-e4edba3dc1b0.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
32,102.55,CELLxGENE:297b5b89-6197-4135-acff-501c8d4199d0,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,rectosigmoid junction,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/9ff3a1ac-8e44-4c39-a578-e2ab93853b6c.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
33,102.55,CELLxGENE:15b98664-a52b-4877-aed9-03f4d73d2d2c,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,rectum,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/4f43fbfe-b88a-4010-9d5f-359afafe80e0.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
34,100.94,CELLxGENE:fd072bc3-2dfb-46f8-b4e3-467cb3223182,Mapping the developing human immune system across organs,2022,10.1126/science.abo0510,CELLxGENE Discover,Homo sapiens,bone marrow; gut wall; kidney; liver; mesenteric lymph node; skin of body; spleen; thymus; yolk sac,normal,scRNA-seq,908046,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/df38503b-8dba-4800-957d-6613747924bb.h5ad ; collection: https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
35,100.25,CELLxGENE:d0c12af4-c0e4-4c7b-873a-70752b449689,Mapping the developing human immune system across organs,2022,10.1126/science.abo0510,CELLxGENE Discover,Homo sapiens,bone marrow; gut wall; kidney; liver; mesenteric lymph node; skin of body; spleen; thymus; yolk sac,normal,scRNA-seq,318656,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,no,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/dbec7f42-587b-4ae4-932e-21dae985908f.h5ad ; collection: https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
36,99.79,CELLxGENE:9968be68-ab65-4a38-9e1a-c9b6abece194,Charting human development using a multi-endodermal organ atlas and organoid models,2023,10.1016/j.cell.2021.04.028,CELLxGENE Discover,Homo sapiens,body of stomach; colon; duodenum; epithelium of trachea; esophagus; ileum; jejunum; liver; lung; pyloric antrum; small intestine; stomach,normal,scRNA-seq,155232,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; peripheral nervous system neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/00b80c9b-8dbd-45c1-8347-51fbe8bd150e.h5ad ; collection: https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa,https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
37,97.35,CELLxGENE:16023185-de21-4c0d-a9c8-73abdd52d142,Spatially organized multicellular immune hubs in human colorectal cancer,2025,10.1016/j.cell.2021.08.003,CELLxGENE Discover,Homo sapiens,colorectum,colon adenocarcinoma; normal,spatial transcriptomics,370115,Schwann cell | matched labels: Schwann cell; enteroendocrine cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/3d1f3641-5755-47e2-b797-10317d33fe32.h5ad ; collection: https://cellxgene.cziscience.com/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585,https://cellxgene.cziscience.com/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
38,96.02,CELLxGENE:8f4f8502-9170-4ac2-9707-3b6985ebfe5f,Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease,2024,10.1016/j.xcrm.2024.101556,CELLxGENE Discover,Homo sapiens,right atrium auricular region,heart failure; heart valve disorder; myocardial ischemia; normal,spatial transcriptomics,221756,Schwann cell | matched labels: Schwann cell; neuron,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关;神经-免疫通讯;外周神经再生;炎症,https://datasets.cellxgene.cziscience.com/86094298-00c2-4d09-b11d-342c5aa1f951.h5ad ; collection: https://cellxgene.cziscience.com/collections/8c782494-01ed-491b-97b9-6f0d3b76c676,https://cellxgene.cziscience.com/collections/8c782494-01ed-491b-97b9-6f0d3b76c676,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
39,95.43,CELLxGENE:bbd16004-09e8-4b6c-b465-73ff83a52837,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon; hindgut; ileum,normal,scRNA-seq,4144,peripheral/enteric glia | matched labels: glial cell; inhibitory motor neuron; interneuron; motor neuron; neuroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a40d9047-5990-4aa1-aac8-2ff55649dab5.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
40,94.25,CELLxGENE:881e0e6b-a185-45f1-9b56-81606e91e7ff,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,2025,10.1101/2024.10.23.619925,CELLxGENE Discover,Homo sapiens,prostate gland,prostatic acinar adenocarcinoma,scRNA-seq,68322,Schwann cell | matched labels: glial cell; myelinating Schwann cell; prostate neuroendocrine cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/68b23fda-7191-46a5-8870-819feca3e66e.h5ad ; collection: https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
41,92.53,CELLxGENE:8e47ed12-c658-4252-b126-381df8d52a3d,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,2022,10.1016/j.devcel.2020.11.010,CELLxGENE Discover,Homo sapiens,ileum,Crohn disease; normal,scRNA-seq,22502,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/ed17a1d8-7a5e-4523-928a-a58db7c4618b.h5ad ; collection: https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
42,90.86,CELLxGENE:6725ee8e-ef5b-4e68-8901-61bd14a1fe73,Integrated human endoderm-derived organoids cell atlas (HEOCA),2024,10.1038/s41588-025-02182-6,CELLxGENE Discover,Homo sapiens,alveolar sac; biliary system; bronchus; colon; common bile duct; corpus; duodenum; gallbladder; ileum; intestine; intrahepatic bile duct; liver; lung; lung epithelium; nasopharynx; pancreas; prostate gland; pyloric antrum; salivary gland epithelium; stomach; thyroid gland,normal,snRNA-seq,806646,Schwann cell | matched labels: Schwann cell; enteroendocrine cell; neuroendocrine cell; neuron,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,外周神经再生,https://datasets.cellxgene.cziscience.com/40f7635e-7fcd-4ede-82e9-0d32753a6b82.h5ad ; collection: https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2,https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
43,89.82,CELLxGENE:5fb841eb-3ffe-4a89-9bec-d4d0be8c8cd0,Developmental Zebrafish Reference Atlas,2025,10.1101/2025.04.03.646654,CELLxGENE Discover,Danio rerio,enteric ganglion; neural crest,normal,snRNA-seq,7589,Schwann cell | matched labels: Schwann cell; enteric neuron,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,外周神经再生,https://datasets.cellxgene.cziscience.com/753bd029-d4b7-4b2a-a919-fa9f9ae2fe6f.h5ad ; collection: https://cellxgene.cziscience.com/collections/4ea9a90e-1dad-4c67-b1e3-8488ab7dc269,https://cellxgene.cziscience.com/collections/4ea9a90e-1dad-4c67-b1e3-8488ab7dc269,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
44,87.46,CELLxGENE:5a4ba05e-6bd0-4cc1-927d-94b397587f4c,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart; atrioventricular node; heart left ventricle; heart right ventricle; interventricular septum; left cardiac atrium; right cardiac atrium; sinoatrial node,normal,spatial transcriptomics,93788,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/95f8699a-3783-4371-9526-7115186e6875.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
45,87.39,CELLxGENE:5d6d404a-86f9-419e-9928-56276904819c,iPain atlas,2024,10.1038/s41467-024-52052-8,CELLxGENE Discover,Mus musculus,trigeminal ganglion,normal; peripheral neuropathy,snRNA-seq,84658,peripheral/enteric glia | matched labels: glial cell; trigeminal neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/40e0cedc-9c3c-4b1c-890d-96cc36743db2.h5ad ; collection: https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
46,86.65,CELLxGENE:25681e1c-a4f6-4948-aa5f-39d1f239f182,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,27108,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6c0c8f36-4b87-4f9f-ad66-67452ee2bcfe.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
47,86.57,CELLxGENE:f29ca8ac-f8c9-469c-a039-3494545d711a,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,24026,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/5c99d4fd-e6c4-47db-8134-ae578f57f246.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
48,86.08,CELLxGENE:d9ecdf7b-e5f9-459e-a7da-e918748cfdfe,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,11312,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0cd6e6bb-d3ea-469e-9fa6-3eaa68f18ba0.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
49,85.98,CELLxGENE:fc93b28c-5789-41ce-8441-ff0da3cc46cf,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,9626,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d2d53b4a-15ee-465e-8fc3-f3bae6a6c598.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
50,85.91,CELLxGENE:59841c13-ab79-46ba-94bd-12b01e61e708,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,8643,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6b1ba574-d264-4673-afaa-5591bfb5ec8c.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
51,85.77,CELLxGENE:affa05cf-6f7a-4868-87d9-a33664680139,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,7027,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/dee78644-1825-41cc-8379-b9f46403f3c2.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
52,85.72,CELLxGENE:92cf7163-4b7b-460b-9751-afd96193a163,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart,normal,spatial transcriptomics,6497,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/bd3b60dc-d3da-4c46-91bc-114033228e2d.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
53,85.65,CELLxGENE:adf0db98-05e8-4834-8ae5-a93e91f56fce,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,5822,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/32fe2229-ab33-46ec-825d-7672b6ba95da.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
54,85.55,CELLxGENE:e2811f45-81cc-4819-aee0-dbaa6b3bb52c,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/f12da94e-18ed-4800-bfe8-08d915989eca.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
55,85.55,CELLxGENE:b5c3a60d-1a81-4be9-abf4-070c5630e73c,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/dcb26f1a-c8c8-4a6d-ad41-1bb562c1e56b.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
56,85.55,CELLxGENE:ab682d61-79b8-4d66-ae9e-aab154e55aad,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/a016abd8-7c7b-4726-b98e-e3f615672d29.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
57,85.55,CELLxGENE:7bb14472-12fa-46e4-a822-1b6eedcc8ffa,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/94e85b80-bf21-4cda-bd60-23b3f2410547.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
58,85.55,CELLxGENE:18f66a91-fe76-4bd6-aa46-5ab39ded35a0,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/dceda2b2-7aa1-44bf-821e-ffd42eb9e66c.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
59,85.55,CELLxGENE:15849d77-1325-4a16-a6ed-504fd852c610,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,neuron | matched labels: enteric neuron,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/8001cc47-6a62-438d-9777-338c83fb8a24.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
60,85.55,CELLxGENE:fe5b3268-ddd8-415a-9432-f1f95bfdb500,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/4e24de66-4ce1-4be4-9261-687aa0cefe24.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
