filename,sha256,file_size,page_count,status,paper_id,document_id,document_role,registry_doi,registry_pmid,registry_title,observed_dois,observed_pmids,metadata_title,score,title_score,match_basis,issues,read_error
PMID_38134877_Automatic cell-type harmonization and integration across Human Cell Atlas datasets..pdf,ece6041309834e0e9c7020609230ca26cd1ddff90cbaa9bc55e820daa12ea707,15717983,37,verified,DOI_10.1016_j.cell.2023.11.026,DOI_10.1016_j.cell.2023.11.026,primary,10.1016/j.cell.2023.11.026,38134877,Automatic cell-type harmonization and integration across Human Cell Atlas datasets.,10.1016/j.cell.2023.11.026,,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_38165934_Multiscale spatial mapping of cell populations across anatomical sites in healthy human skin and bas.pdf,949674dafbaad8681fc8ef85ec5f1c134a78c494d7b973afce54a01da3ca1bda,9519392,10,verified,DOI_10.1073_pnas.2313326120,DOI_10.1073_pnas.2313326120,primary,10.1073/pnas.2313326120,38165934,Multiscale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma.,10.1073/pnas.2313326120;10.1073/pnas,,Multiscale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_38355799_A single-cell time-lapse of mouse prenatal development from gastrula to birth..pdf,f1f497004f3c446deeeba2ee8362ad0ad11f91697f94fafe67a6c23338ed0d7a,66210352,39,verified,DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,10.1038/s41586-024-07069-w,38355799,A single-cell time-lapse of mouse prenatal development from gastrula to birth.,10.1038/s41586-024-07069-w,,A single-cell time-lapse of mouse prenatal development from gastrula to birth,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_38548990_Cell-type-specific and disease-associated expression quantitative trait loci in the human lung..pdf,db0b47f7f1b3b98d1787dd1f8704dd963584e41d82a8cf76aa98574b23729354,2713602,17,verified,DOI_10.1038_s41588-024-01702-0,DOI_10.1038_s41588-024-01702-0,primary,10.1038/s41588-024-01702-0,38548990,Cell-type-specific and disease-associated expression quantitative trait loci in the human lung.,10.1038/s41588-024-01702-0;10.1038/s41588-024-01702-0for,,Cell-type-specific and disease-associated expression quantitative trait loci in the human lung,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_38622407_Human skeletal muscle aging atlas..pdf,a4ef3d5540e8a63f270c4be9aa5152753bff6507fcb4386b6fe96aa8b3a8b366,29426506,35,verified,DOI_10.1038_s43587-024-00613-3,DOI_10.1038_s43587-024-00613-3,primary,10.1038/s43587-024-00613-3,38622407,Human skeletal muscle aging atlas.,10.1038/s43587-024-00613-3;10.1038/s43587-024-00613-3and,,Human skeletal muscle aging atlas,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_38776872_Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory m.pdf,036e42d167bd25e4fa5942020236ad0c9dff70101454a1b0a62b39643a8621d4,18403999,27,verified,DOI_10.1016_j.xcrm.2024.101556,DOI_10.1016_j.xcrm.2024.101556,primary,10.1016/j.xcrm.2024.101556,38776872,Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease.,10.1016/j.xcrm.2024.101556,,Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_39362841_The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical t.pdf,4ea56f9a7eb5e9744e1f998584b359394d7fb536529c04013beb40aa90801a62,4739481,15,verified,DOI_10.1038_s41467-024-52052-8,DOI_10.1038_s41467-024-52052-8,primary,10.1038/s41467-024-52052-8,39362841,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment.,10.1038/s41467-024-52052-8,,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_39478111_A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across cli.pdf,70a4d590049fdfc8bc112d5c02efecba8ca2b7f4c463dc1b9b9888e1d4d41681,20211798,38,verified,DOI_10.1038_s41591-024-03215-z,DOI_10.1038_s41591-024-03215-z,primary,10.1038/s41591-024-03215-z,39478111,A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features.,10.1038/s41591-024-03215-z;10.1038/s41591-024-03215-zentire;10.1038/s41591-024-03215-zthe,,A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_39567783_Single-cell integration reveals metaplasia in inflammatory gut diseases..pdf,0a2dd40ebc5337e9cb64a6464b6ddf57e76f685267feb710e130d756d4ef9468,22039741,35,verified,DOI_10.1038_s41586-024-07571-1,DOI_10.1038_s41586-024-07571-1,primary,10.1038/s41586-024-07571-1,39567783,Single-cell integration reveals metaplasia in inflammatory gut diseases.,10.1038/s41586-024-07571-1,,Single-cell integration reveals metaplasia in inflammatory gut diseases,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_39627536_Cross-species single-cell RNA-seq analysis reveals disparate and conserved cardiac and extracardiac .pdf,b403386f35c12af2ed44c75d200e4931b72f95a5f91c04c7e86e0cff5b8a27d6,5390903,20,verified,DOI_10.1038_s42003-024-07315-x,DOI_10.1038_s42003-024-07315-x,primary,10.1038/s42003-024-07315-x,39627536,Cross-species single-cell RNA-seq analysis reveals disparate and conserved cardiac and extracardiac inflammatory responses upon heart injury.,10.1038/s42003-024-07315-x,,Cross-species single-cell RNA-seq analysis reveals disparate and conserved cardiac and extracardiac inflammatory responses upon heart injury,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_39850354_Exploring the utility of snRNA-seq in profiling human bladder tissue_ A comprehensive comparison wit.pdf,722300ca8de227e2ade604e847ecf091bc926a04ab3e7240a269aedbcc9d6830,5935498,16,verified,DOI_10.1016_j.isci.2024.111628,DOI_10.1016_j.isci.2024.111628,primary,10.1016/j.isci.2024.111628,39850354,Exploring the utility of snRNA-seq in profiling human bladder tissue: A comprehensive comparison with scRNA-seq.,10.1016/j.isci.2024.111628,,Exploring the utility of snRNA-seq in profiling human bladder tissue: A comprehensive comparison with scRNA-seq,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_39994453_The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SAR.pdf,b75785520a8c3de255f66ba3b87991eb88da4d0ea33d1ad0ca9cbd961fafd0d4,23181240,32,verified,DOI_10.1038_s44161-025-00612-6,DOI_10.1038_s44161-025-00612-6,primary,10.1038/s44161-025-00612-6,39994453,The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination.,10.1038/s44161-025-00612-6;10.1038/s44161-025-00612-6100,,The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_40044687_Single-nuclei sequencing of skeletal muscle reveals subsynaptic-specific transcripts involved in neu.pdf,d270b8cbe31797fa5636337fd3c3dd942c2a31e16b7cba306baddf4bc39cce07,5990312,19,verified,DOI_10.1038_s41467-025-57487-1,DOI_10.1038_s41467-025-57487-1,primary,10.1038/s41467-025-57487-1,40044687,Single-nuclei sequencing of skeletal muscle reveals subsynaptic-specific transcripts involved in neuromuscular junction maintenance.,10.1038/s41467-025-57487-1,,Single-nuclei sequencing of skeletal muscle reveals subsynaptic-specific transcripts involved in neuromuscular junction maintenance,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_40229600_Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tum.pdf,b83a39ee38aeef42264f00282611c5691ad19d11d5691ec212435e12c67fbe69,32385765,40,verified,DOI_10.1038_s41588-025-02158-6,DOI_10.1038_s41588-025-02158-6,primary,10.1038/s41588-025-02158-6,40229600,Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring.,10.1038/s41588-025-02158-6;10.1038/s41588-025-02158-6were;10.1038/s41588-025-02158-6consistently,,Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_40355592_An integrated transcriptomic cell atlas of human endoderm-derived organoids..pdf,a90a4b4f9b4eb930f3f4b8345a69eeb3138a3a09ba18a0aa8685de0c7a08eebf,31998570,34,verified,DOI_10.1038_s41588-025-02182-6,DOI_10.1038_s41588-025-02182-6,primary,10.1038/s41588-025-02182-6,40355592,An integrated transcriptomic cell atlas of human endoderm-derived organoids.,10.1038/s41588-025-02182-6;10.1038/s41588-025-02182-6thyroid,,An integrated transcriptomic cell atlas of human endoderm-derived organoids,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_41529665_Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neu.pdf,4f25d74ffeab38c23d54e0b647d5c7cb530757912785b83649094e4a72d3d7c7,20543629,35,verified,DOI_10.1016_j.ccell.2025.12.003,DOI_10.1016_j.ccell.2025.12.003,primary,10.1016/j.ccell.2025.12.003,41529665,Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer.,,,Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer,260,1.0,filename_pmid;registry_path;strong_title,,
PMID_41741455_Multi-modal skin atlas identifies a multicellular immune-stromal community associated with disrupted.pdf,08a3462768c562ed53203a47641f2ff5b815a451d860cf35b31a616b37560f67,3980127,20,verified,DOI_10.1038_s41467-026-69587-7,DOI_10.1038_s41467-026-69587-7,primary,10.1038/s41467-026-69587-7,41741455,Multi-modal skin atlas identifies a multicellular immune-stromal community associated with disrupted cornification and specific T cell expansion in atopic dermatitis.,10.1038/s41467-026-69587-7,,Multi-modal skin atlas identifies a multicellular immune-stromal community associated with disrupted cornification and specific T cell expansion in atopic dermatitis,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_42236949_Cell-type-resolved genetic variation shapes inflammatory bowel disease risk..pdf,5beac666baa1caf8f0a92bf39d0dfc2d0a3e212972111933300ed77b4d2bce4b,11777214,28,verified,DOI_10.1038_s41586-026-10627-z,DOI_10.1038_s41586-026-10627-z,primary,10.1038/s41586-026-10627-z,42236949,Cell-type-resolved genetic variation shapes inflammatory bowel disease risk.,10.1038/s41586-026-10627-z,,Cell-type-resolved genetic variation shapes inflammatory bowel disease risk,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
s41467-025-60371-7.pdf,a59963f44f46b439dedc9c7cb5f397d01cf32ddab5900b3d2b7f4a40cabfa9a2,9230185,14,verified,TITLE_s41467_025_60371_7,TITLE_s41467_025_60371_7,primary,,,s41467-025-60371-7,10.1038/s41467-025-60371-7,,Bronchopulmonary dysplasia with pulmonary hypertension associates with semaphorin signaling loss and functionally decreased FOXF1 expression,140,1.0,registry_path;strong_title,,
